"week","Pollen","Grass","Tree","Weed/Shrub","Total","PPM3_1","Ambrosia","Artemisia","Asteraceae","Chen. /Amar.","SEDGES","Plantago","Rumex","MAPLE","ALDER","BETULA","HICKORY","JUNIPER","ASH","MULBERRY","Urticaceae","PRIVET","PINE","COTTONWOOD","OAK","WILLOW","Tilia","Ulmus","Poaceae","Total2","PPM3_2"
9,50.5030666666667,1.80872666666667,39.554,6.98443333333333,48.34716,44.9108620933333,0,0,0,6.98443333333333,0,0,0,8.58779666666667,2.92584,7.27053666666667,0,0,1.80872666666667,1.80872666666667,0,3.61746666666667,5.42616666666667,0,3.4067,2.24778666666667,0,2.45427666666667,1.80872666666667,48.3471833333333,42.9936997233333
10,50.2758971428571,5.84943714285714,38.7098714285714,2.64388371428571,47.2031922857143,44.708847052,0,0,0,2.64388371428571,0,0,0,0.775168571428571,2.97044714285714,3.95060714285714,0,0.297718571428571,2.11327,4.07921142857143,0,0.775168571428571,9.08798571428571,1.55033714285714,4.66047571428571,7.67432285714286,0,0.775168571428571,5.84943714285714,47.2032022857143,41.9763916971429
11,81.2944714285714,1.55033714285714,64.9624028571429,13.27728,79.79002,72.2927346142857,0,0,0,12.2605985714286,0,1.01668285714286,0,0.775168571428571,3.04522857142857,8.40340428571429,2.33119714285714,0,0.775168571428571,1.10760428571429,0,1.81175714285714,25.0200085714286,0.939037142857143,11.63896,6.17201142857143,0,2.94287,1.55033714285714,79.7900342857143,70.95488379
12,492.3157,7.99632714285714,420.988628571429,59.5071742857143,488.49213,437.801582568571,0,0,0,54.12116,0,5.38612857142857,0,15.9220971428571,15.9091071428571,77.6421971428571,29.0971985714286,0.349408571428571,8.02556,4.76643,0,8.95747142857143,154.564628571429,4.38721571428571,83.3893485714286,10.5638657142857,0,7.41393714285714,7.99632714285714,488.492081428571,434.401353211429
13,6089.05428571429,37.8969657142857,5417.28857142857,604.592857142857,6059.77839428571,5414.81330471429,0,0,0,580.346571428571,0,24.2462714285714,0,24.3513714285714,101.593871428571,969.307285714286,440.938,3.75647428571429,131.6366,62.3336714285714,0,151.881357142857,1146.44428571429,26.8418214285714,2207.52128571429,126.200114285714,0,24.48102,37.8969657142857,6059.77696714286,5388.77786357143
14,1744.39871428571,19.0691585714286,1420.35057142857,287.998314285714,1727.41804428571,1551.24144477143,0,0,0,276.855442857143,0,11.1429828571429,0,4.78342857142857,32.6197257142857,315.589714285714,146.545914285714,0.50476,56.6347428571429,31.4621971428571,0,59.2202,201.7868,9.31009714285714,470.644285714286,86.7470142857143,0,4.50173942857143,19.0691585714286,1727.41820371429,1536.14118592857
15,383.116071428571,7.97733285714286,309.348085714286,55.5336714285714,372.85909,340.693628887143,0,0,0,46.7749285714286,0,8.75872,0,0.716172857142857,11.6706885714286,86.9879285714286,25.0084828571429,0.817065714285714,12.4922371428571,9.47215571428571,0,23.99131,37.9019842857143,5.20300914285714,56.8493285714286,35.5905471428571,0,2.64727714285714,7.97733285714286,372.859169142857,331.572473401429
16,424.170128571429,11.0505585714286,336.249628571429,66.8339571428571,414.134144285714,377.201770232857,0,0,0,55.5143285714286,0,11.3196185714286,0,1.02391714285714,10.0830771428571,61.8667285714286,37.4804085714286,0.875687285714286,12.9621428571429,14.0131957142857,0,36.3412205714286,47.4021714285714,5.51432285714286,64.3245714285714,39.2682414285714,0,5.09386142857143,11.0505585714286,414.134052142857,368.276988527143
17,227.3739,5.24599342857143,179.346614285714,34.5299342857143,219.122542,202.19678806,0,0,0,27.0248085714286,0,7.50511428571429,0,1.81929571428571,6.62488714285714,44.9349714285714,37.3108142857143,0.291852857142857,8.33126142857143,10.0352114285714,0,14.7470185714286,6.65596428571429,2.20893028571429,23.1422871428571,18.5241485714286,0,4.72002571428571,5.24599342857143,219.122585142857,194.85914128
18,258.452257142857,3.87452428571429,213.695857142857,28.3144428571429,245.884824285714,229.833838727143,0,0,0,21.5493314285714,0,6.76511857142857,0,2.1497,16.0003394285714,31.1659528571429,82.5665428571429,0.278332857142857,6.64503428571429,10.1131142857143,0,11.2680817142857,5.10715857142857,5.00604142857143,22.3739371428571,20.00983,0,1.01192685714286,3.87452428571429,245.884966571429,218.658124221429
19,346.908,11.7080921428571,242.902857142857,74.5368714285714,329.147820714286,308.494877171429,0,0,0,54.4209857142857,0,20.1158271428571,0,0.576628571428571,16.4352414285714,54.5946714285714,54.7213,0,9.80756142857143,9.15354714285714,0,24.79035,5.86875714285714,2.96753142857143,21.8131285714286,36.5881528571429,0,5.58595142857143,11.7080921428571,329.147726428571,292.701198671429
20,152.859371428571,9.45654814285714,110.888728571429,20.9707257142857,141.316002428571,135.933253232857,0,0,0,16.4463,0,4.52440714285714,0,0,4.517732,8.81663,31.79334,0,1.35970857142857,6.66828428571429,0,19.97494,7.89830714285714,2.00611957142857,5.53536857142857,21.9842514285714,0,0.334014285714286,9.45654814285714,141.315951142857,125.668035877143
21,34.9032142857143,4.73565285714286,22.4036228571429,5.60025857142857,32.7395342857143,31.03838137,0,0.578938571428571,0,2.886275,0,2.13504714285714,0,0,0,1.57411285714286,1.80867714285714,0,1.18797,1.98945857142857,0,5.88154428571429,2.97781142857143,1.07931757142857,1.90621571428571,3.99850857142857,0,0,4.73565285714286,32.7395297142857,29.11428159
